Group,Category,X,Y,AverageSize,AverageDeviation,PlaneSize
1,control,-1.51,15.7,75.77160167,3.761,2153.1765
1,control,-14.3,13.4,75.77160167,3.761,2153.1765
1,control,-25.3,10.4,75.77160167,3.761,2153.1765
1,control,-7.93,2.76,75.77160167,3.761,2153.1765
1,control,-24.4,-2.69,75.77160167,3.761,2153.1765
1,control,-17.7,-10.6,75.77160167,3.761,2153.1765
1,control,-6.84,-13,75.77160167,3.761,2153.1765
1,control,-7.5,-17.7,75.77160167,3.761,2153.1765
1,control,5.77,-17.6,75.77160167,3.761,2153.1765
1,control,9.16,-12.4,75.77160167,3.761,2153.1765
1,control,20.4,-17,75.77160167,3.761,2153.1765
1,control,23.6,-9.23,75.77160167,3.761,2153.1765
1,control,26.3,-1.79,75.77160167,3.761,2153.1765
1,control,15.1,-1.38,75.77160167,3.761,2153.1765
1,control,26.6,5.05,75.77160167,3.761,2153.1765
1,control,21.5,12.5,75.77160167,3.761,2153.1765
1,control,9.38,14.9,75.77160167,3.761,2153.1765
1,control,2.61,7.32,75.77160167,3.761,2153.1765
2,control,3.67,16.6,71.84660167,6.246,1651.64
2,control,11.9,15,71.84660167,6.246,1651.64
2,control,4.75,3.14,71.84660167,6.246,1651.64
2,control,-7.09,11.1,71.84660167,6.246,1651.64
2,control,-6.36,18.1,71.84660167,6.246,1651.64
2,control,-16.1,14.4,71.84660167,6.246,1651.64
2,control,-21.3,11.6,71.84660167,6.246,1651.64
2,control,-16.7,-0.934,71.84660167,6.246,1651.64
2,control,-22.2,-10.7,71.84660167,6.246,1651.64
2,control,-12,-17.4,71.84660167,6.246,1651.64
2,control,-10.7,-7.72,71.84660167,6.246,1651.64
2,control,-3.54,-8.11,71.84660167,6.246,1651.64
2,control,-2.26,-14.8,71.84660167,6.246,1651.64
2,control,8.06,-17,71.84660167,6.246,1651.64
2,control,17,-9.59,71.84660167,6.246,1651.64
2,control,22.7,-2.73,71.84660167,6.246,1651.64
2,control,14.5,4.93,71.84660167,6.246,1651.64
2,control,23.1,10.3,71.84660167,6.246,1651.64
3,control,-4.59,17.5,77.286861,6.918,2126.6592
3,control,-7.59,9.7,77.286861,6.918,2126.6592
3,control,-20.3,17.4,77.286861,6.918,2126.6592
3,control,-23.9,6.76,77.286861,6.918,2126.6592
3,control,-26,-0.491,77.286861,6.918,2126.6592
3,control,-13,-0.425,77.286861,6.918,2126.6592
3,control,-26.5,-8.41,77.286861,6.918,2126.6592
3,control,-18.6,-15.5,77.286861,6.918,2126.6592
3,control,-6.8,-16.7,77.286861,6.918,2126.6592
3,control,-0.211,-8.45,77.286861,6.918,2126.6592
3,control,6.61,-17.5,77.286861,6.918,2126.6592
3,control,12.2,-2.24,77.286861,6.918,2126.6592
3,control,15.6,-14.5,77.286861,6.918,2126.6592
3,control,29.3,-8.61,77.286861,6.918,2126.6592
3,control,27.8,4.37,77.286861,6.918,2126.6592
3,control,20.9,12.3,77.286861,6.918,2126.6592
3,control,10.4,15.1,77.286861,6.918,2126.6592
3,control,13.7,19.9,77.286861,6.918,2126.6592
4,control,-10.9,18.7,67.43577825,7.367,1733.7824
4,control,-12.1,12.9,67.43577825,7.367,1733.7824
4,control,-9.26,5.9,67.43577825,7.367,1733.7824
4,control,-21.6,13.5,67.43577825,7.367,1733.7824
4,control,-25.3,2.53,67.43577825,7.367,1733.7824
4,control,-11.7,0.411,67.43577825,7.367,1733.7824
4,control,-19,-5,67.43577825,7.367,1733.7824
4,control,-23.1,-13.9,67.43577825,7.367,1733.7824
4,control,-13.1,-17.2,67.43577825,7.367,1733.7824
4,control,-1.51,-18.1,67.43577825,7.367,1733.7824
4,control,8.02,-15.1,67.43577825,7.367,1733.7824
4,control,8.52,-6.47,67.43577825,7.367,1733.7824
4,control,20.6,-7.7,67.43577825,7.367,1733.7824
4,control,9.86,2.83,67.43577825,7.367,1733.7824
4,control,22.4,1.6,67.43577825,7.367,1733.7824
4,control,0.895,15.6,67.43577825,7.367,1733.7824
4,control,9.17,17.2,67.43577825,7.367,1733.7824
4,control,19.4,15.8,67.43577825,7.367,1733.7824
4,control,23.7,9.01,67.43577825,7.367,1733.7824
5,control,-0.767,13.6,66.50546167,12.335,1884.0942
5,control,-9,4.49,66.50546167,12.335,1884.0942
5,control,-11.7,15.6,66.50546167,12.335,1884.0942
5,control,-19.9,9.98,66.50546167,12.335,1884.0942
5,control,-25.9,2.22,66.50546167,12.335,1884.0942
5,control,-25.9,-7.01,66.50546167,12.335,1884.0942
5,control,-23.4,-13,66.50546167,12.335,1884.0942
5,control,-11.9,-14.9,66.50546167,12.335,1884.0942
5,control,-13.4,-5.98,66.50546167,12.335,1884.0942
5,control,-0.791,-15.8,66.50546167,12.335,1884.0942
5,control,0.167,-10.1,66.50546167,12.335,1884.0942
5,control,11.2,-13.8,66.50546167,12.335,1884.0942
5,control,22.9,-14.9,66.50546167,12.335,1884.0942
5,control,29.2,-10.2,66.50546167,12.335,1884.0942
5,control,17.4,-4.71,66.50546167,12.335,1884.0942
5,control,5.73,0.235,66.50546167,12.335,1884.0942
5,control,10.7,6.91,66.50546167,12.335,1884.0942
5,control,22,6.16,66.50546167,12.335,1884.0942
5,control,32.8,1.48,66.50546167,12.335,1884.0942
6,control,-0.0813,22.4,76.63798,5.674,2451.3666
6,control,-9.68,21.6,76.63798,5.674,2451.3666
6,control,-6.59,10.9,76.63798,5.674,2451.3666
6,control,-18.6,16.6,76.63798,5.674,2451.3666
6,control,-21.9,5.3,76.63798,5.674,2451.3666
6,control,-29,-0.00745,76.63798,5.674,2451.3666
6,control,-20.3,-4.69,76.63798,5.674,2451.3666
6,control,-21.4,-15.7,76.63798,5.674,2451.3666
6,control,-12.4,-21.2,76.63798,5.674,2451.3666
6,control,0.732,-19.7,76.63798,5.674,2451.3666
6,control,1.71,-12.6,76.63798,5.674,2451.3666
